iteration,agent,x,y,mass,fitness
17,15,0.198822,-0.216324,0.034497,0.0863264
17,16,0.255247,1.0089,0.0342612,1.08304
17,17,0.202655,-0.212441,0.034497,0.0862002
17,18,0.202281,-0.209473,0.0344973,0.0847966
17,19,0.218948,-0.20907,0.0344957,0.0916484
17,20,0.152896,-0.209122,0.0345015,0.067109
17,21,0.218549,-0.22397,0.0344942,0.0979259
17,22,0.207523,-0.238595,0.0344937,0.0999932
17,23,0.212105,-0.174157,0.0344996,0.0753192
17,24,0.215324,-0.212102,0.0344958,0.0913516
17,25,0.205419,-0.22611,0.0344953,0.0933228
